id,osm_id,nombre,latitud,longitud,tipo
PLANTA_QUILLACOLLO,PLANTA,Planta Agregados Zambrana,-17.39228,-66.27838,planta
INTER_309139566,309139566,Intersección 309139566,-17.3496648,-66.2874389,interseccion
INTER_309139569,309139569,Intersección 309139569,-17.3562517,-66.2863423,interseccion
INTER_309139570,309139570,Intersección 309139570,-17.361091,-66.2858147,interseccion
INTER_309139579,309139579,Intersección 309139579,-17.3834355,-66.2839841,interseccion
INTER_309139581,309139581,Intersección 309139581,-17.3836257,-66.2848351,interseccion
INTER_309139587,309139587,Intersección 309139587,-17.3932093,-66.2846576,interseccion
INTER_309139637,309139637,Intersección 309139637,-17.3930765,-66.2828923,interseccion
INTER_309139663,309139663,Intersección 309139663,-17.3951823,-66.2815078,interseccion
INTER_309139665,309139665,Intersección 309139665,-17.3929911,-66.2816969,interseccion
INTER_319770603,319770603,Intersección 319770603,-17.395352,-66.3038799,interseccion
INTER_319770804,319770804,Intersección 319770804,-17.3945958,-66.2862169,interseccion
INTER_319770806,319770806,Intersección 319770806,-17.3945051,-66.2846089,interseccion
INTER_319770860,319770860,Intersección 319770860,-17.3942302,-66.2846215,interseccion
INTER_319771123,319771123,Intersección 319771123,-17.3944173,-66.2829966,interseccion
INTER_319771124,319771124,Intersección 319771124,-17.3943417,-66.2815709,interseccion
INTER_319771126,319771126,Intersección 319771126,-17.394282,-66.2806245,interseccion
INTER_319771168,319771168,Intersección 319771168,-17.3940055,-66.2806406,interseccion
INTER_319771170,319771170,Intersección 319771170,-17.3940668,-66.2816,interseccion
INTER_319771172,319771172,Intersección 319771172,-17.3941538,-66.2829891,interseccion
INTER_319771811,319771811,Intersección 319771811,-17.3932457,-66.2729057,interseccion
INTER_319772443,319772443,Intersección 319772443,-17.3977485,-66.3247534,interseccion
INTER_319772448,319772448,Intersección 319772448,-17.3972711,-66.3239313,interseccion
INTER_319772454,319772454,Intersección 319772454,-17.3963003,-66.3209654,interseccion
INTER_319772617,319772617,Intersección 319772617,-17.3921344,-66.2596226,interseccion
INTER_319772622,319772622,Intersección 319772622,-17.3919906,-66.2596078,interseccion
INTER_319773759,319773759,Intersección 319773759,-17.3907244,-66.2439573,interseccion
INTER_319773760,319773760,Intersección 319773760,-17.3907364,-66.2444669,interseccion
INTER_319773765,319773765,Intersección 319773765,-17.3910616,-66.2506914,interseccion
INTER_319773766,319773766,Intersección 319773766,-17.3910637,-66.2508008,interseccion
INTER_617198358,617198358,Intersección 617198358,-17.420169,-66.2837693,interseccion
INTER_617198364,617198364,Intersección 617198364,-17.4179014,-66.2872118,interseccion
INTER_617198365,617198365,Intersección 617198365,-17.4180618,-66.2870725,interseccion
INTER_617198366,617198366,Intersección 617198366,-17.4183003,-66.2864048,interseccion
INTER_617198370,617198370,Intersección 617198370,-17.4184311,-66.2857831,interseccion
INTER_617198376,617198376,Intersección 617198376,-17.4183385,-66.2821195,interseccion
INTER_617198380,617198380,Intersección 617198380,-17.4170675,-66.279167,interseccion
INTER_617198395,617198395,Intersección 617198395,-17.4104271,-66.2808438,interseccion
INTER_617198410,617198410,Intersección 617198410,-17.4011718,-66.2810727,interseccion
INTER_617198439,617198439,Intersección 617198439,-17.3940994,-66.2787977,interseccion
INTER_617198520,617198520,Intersección 617198520,-17.4152203,-66.2765287,interseccion
INTER_617198522,617198522,Intersección 617198522,-17.4148566,-66.2735908,interseccion
INTER_617198531,617198531,Intersección 617198531,-17.4102986,-66.2729259,interseccion
INTER_617198543,617198543,Intersección 617198543,-17.4151041,-66.2771222,interseccion
INTER_617198554,617198554,Intersección 617198554,-17.41029,-66.2730175,interseccion
INTER_617198577,617198577,Intersección 617198577,-17.3932307,-66.2611147,interseccion
INTER_617198579,617198579,Intersección 617198579,-17.3933517,-66.2561504,interseccion
INTER_617198582,617198582,Intersección 617198582,-17.3935053,-66.2468285,interseccion
INTER_617198583,617198583,Intersección 617198583,-17.3936132,-66.2439128,interseccion
INTER_617198585,617198585,Intersección 617198585,-17.3934768,-66.2395957,interseccion
INTER_617198588,617198588,Intersección 617198588,-17.3932473,-66.2370797,interseccion
INTER_617198627,617198627,Intersección 617198627,-17.3938889,-66.2684442,interseccion
INTER_617198633,617198633,Intersección 617198633,-17.3933078,-66.2621563,interseccion
INTER_617198634,617198634,Intersección 617198634,-17.3933273,-66.2611167,interseccion
INTER_617198636,617198636,Intersección 617198636,-17.3934609,-66.2561767,interseccion
INTER_617198640,617198640,Intersección 617198640,-17.3937271,-66.2439063,interseccion
INTER_617198642,617198642,Intersección 617198642,-17.3935893,-66.239602,interseccion
INTER_617198645,617198645,Intersección 617198645,-17.3933435,-66.2369965,interseccion
INTER_617200541,617200541,Intersección 617200541,-17.4007281,-66.273782,interseccion
INTER_617200550,617200550,Intersección 617200550,-17.3934995,-66.2726613,interseccion
INTER_617200563,617200563,Intersección 617200563,-17.377152,-66.2819842,interseccion
INTER_617323506,617323506,Intersección 617323506,-17.3996571,-66.3034442,interseccion
INTER_617323508,617323508,Intersección 617323508,-17.3992973,-66.3010943,interseccion
INTER_617323513,617323513,Intersección 617323513,-17.3987586,-66.2916782,interseccion
INTER_617323518,617323518,Intersección 617323518,-17.398444,-66.2861817,interseccion
INTER_617323523,617323523,Intersección 617323523,-17.3983911,-66.2842369,interseccion
INTER_617323525,617323525,Intersección 617323525,-17.3979572,-66.2817599,interseccion
INTER_617323526,617323526,Intersección 617323526,-17.3978998,-66.2813511,interseccion
INTER_617323972,617323972,Intersección 617323972,-17.399748,-66.2931669,interseccion
INTER_617324013,617324013,Intersección 617324013,-17.3998222,-66.2931711,interseccion
INTER_617331594,617331594,Intersección 617331594,-17.3996005,-66.2862686,interseccion
INTER_617331595,617331595,Intersección 617331595,-17.3995008,-66.2862657,interseccion
INTER_617331602,617331602,Intersección 617331602,-17.3995138,-66.2862807,interseccion
INTER_617331605,617331605,Intersección 617331605,-17.3995053,-66.2861898,interseccion
INTER_617331613,617331613,Intersección 617331613,-17.3996019,-66.2861953,interseccion
INTER_617331619,617331619,Intersección 617331619,-17.399538,-66.2861689,interseccion
INTER_617331625,617331625,Intersección 617331625,-17.3994847,-66.2847938,interseccion
INTER_617331659,617331659,Intersección 617331659,-17.3959125,-66.2790567,interseccion
INTER_617331660,617331660,Intersección 617331660,-17.3945142,-66.2743907,interseccion
INTER_617332167,617332167,Intersección 617332167,-17.380229,-66.2698829,interseccion
INTER_617332200,617332200,Intersección 617332200,-17.3802359,-66.2699768,interseccion
INTER_617332208,617332208,Intersección 617332208,-17.3986102,-66.2726374,interseccion
INTER_617332211,617332211,Intersección 617332211,-17.3988006,-66.2700834,interseccion
INTER_617332251,617332251,Intersección 617332251,-17.3986785,-66.2726546,interseccion
INTER_617337143,617337143,Intersección 617337143,-17.3899357,-66.29174,interseccion
INTER_617337146,617337146,Intersección 617337146,-17.3995004,-66.2834942,interseccion
INTER_617337147,617337147,Intersección 617337147,-17.3982398,-66.2835807,interseccion
INTER_617337148,617337148,Intersección 617337148,-17.399526,-66.282526,interseccion
INTER_617337149,617337149,Intersección 617337149,-17.3993745,-66.2819077,interseccion
INTER_617337151,617337151,Intersección 617337151,-17.3976436,-66.2806087,interseccion
INTER_617337159,617337159,Intersección 617337159,-17.3978145,-66.2793361,interseccion
INTER_617337160,617337160,Intersección 617337160,-17.3979763,-66.2781143,interseccion
INTER_617337161,617337161,Intersección 617337161,-17.3984739,-66.2737834,interseccion
INTER_617337162,617337162,Intersección 617337162,-17.398483,-66.2736945,interseccion
INTER_617337163,617337163,Intersección 617337163,-17.398559,-66.2737061,interseccion
INTER_617337164,617337164,Intersección 617337164,-17.3985485,-66.2737957,interseccion
INTER_617337174,617337174,Intersección 617337174,-17.3943532,-66.2701725,interseccion
INTER_617337175,617337175,Intersección 617337175,-17.3942377,-66.2701755,interseccion
INTER_617337177,617337177,Intersección 617337177,-17.3943203,-66.2700701,interseccion
INTER_617337178,617337178,Intersección 617337178,-17.3942028,-66.2700496,interseccion
INTER_617337190,617337190,Intersección 617337190,-17.3931509,-66.2699556,interseccion
INTER_617337192,617337192,Intersección 617337192,-17.3931644,-66.2701132,interseccion
INTER_617337194,617337194,Intersección 617337194,-17.3930492,-66.2701093,interseccion
INTER_617337196,617337196,Intersección 617337196,-17.3930396,-66.2699511,interseccion
INTER_617337199,617337199,Intersección 617337199,-17.3895605,-66.286348,interseccion
INTER_617337206,617337206,Intersección 617337206,-17.3894556,-66.2847328,interseccion
INTER_617337207,617337207,Intersección 617337207,-17.3894036,-66.2836469,interseccion
INTER_617337208,617337208,Intersección 617337208,-17.3892727,-66.2810051,interseccion
INTER_617337216,617337216,Intersección 617337216,-17.3859974,-66.2838103,interseccion
INTER_617337223,617337223,Intersección 617337223,-17.3886676,-66.2748025,interseccion
INTER_617337226,617337226,Intersección 617337226,-17.3885449,-66.2734723,interseccion
INTER_617339372,617339372,Intersección 617339372,-17.4150443,-66.2792847,interseccion
INTER_617339984,617339984,Intersección 617339984,-17.4149896,-66.2815051,interseccion
INTER_617339985,617339985,Intersección 617339985,-17.4133943,-66.2812649,interseccion
INTER_617339988,617339988,Intersección 617339988,-17.41415,-66.2748268,interseccion
INTER_617339989,617339989,Intersección 617339989,-17.4131077,-66.2828192,interseccion
INTER_617339990,617339990,Intersección 617339990,-17.4127536,-66.2856977,interseccion
INTER_617344288,617344288,Intersección 617344288,-17.4171848,-66.2818433,interseccion
INTER_617344289,617344289,Intersección 617344289,-17.4169089,-66.2833435,interseccion
INTER_617344290,617344290,Intersección 617344290,-17.413982,-66.2813448,interseccion
INTER_617344292,617344292,Intersección 617344292,-17.4150314,-66.2795962,interseccion
INTER_617344295,617344295,Intersección 617344295,-17.413749,-66.2785441,interseccion
INTER_617344297,617344297,Intersección 617344297,-17.4137418,-66.2786241,interseccion
INTER_617344299,617344299,Intersección 617344299,-17.4145415,-66.279604,interseccion
INTER_617344300,617344300,Intersección 617344300,-17.413625,-66.279614,interseccion
INTER_617344303,617344303,Intersección 617344303,-17.4136758,-66.2793042,interseccion
INTER_617344306,617344306,Intersección 617344306,-17.4150921,-66.2776976,interseccion
INTER_617344307,617344307,Intersección 617344307,-17.4151434,-66.2764897,interseccion
INTER_617344308,617344308,Intersección 617344308,-17.4138461,-66.2777079,interseccion
INTER_617344309,617344309,Intersección 617344309,-17.4139193,-66.2771336,interseccion
INTER_617344312,617344312,Intersección 617344312,-17.4140028,-66.2764845,interseccion
INTER_617344313,617344313,Intersección 617344313,-17.4133542,-66.275769,interseccion
INTER_617344316,617344316,Intersección 617344316,-17.4136284,-66.2747611,interseccion
INTER_617344318,617344318,Intersección 617344318,-17.4133503,-66.2741098,interseccion
INTER_617344320,617344320,Intersección 617344320,-17.4125973,-66.2811588,interseccion
INTER_617344322,617344322,Intersección 617344322,-17.4114017,-66.280982,interseccion
INTER_617344324,617344324,Intersección 617344324,-17.4098034,-66.2823387,interseccion
INTER_617344325,617344325,Intersección 617344325,-17.4095889,-66.2833382,interseccion
INTER_617344326,617344326,Intersección 617344326,-17.4126984,-66.2783568,interseccion
INTER_617344328,617344328,Intersección 617344328,-17.4125971,-66.2796042,interseccion
INTER_617344329,617344329,Intersección 617344329,-17.4126945,-66.278436,interseccion
INTER_617344333,617344333,Intersección 617344333,-17.4131275,-66.2796109,interseccion
INTER_617344337,617344337,Intersección 617344337,-17.4131985,-66.27852,interseccion
INTER_617344341,617344341,Intersección 617344341,-17.4120485,-66.2796289,interseccion
INTER_617344343,617344343,Intersección 617344343,-17.4114979,-66.2796268,interseccion
INTER_617344345,617344345,Intersección 617344345,-17.4107128,-66.2780014,interseccion
INTER_617344346,617344346,Intersección 617344346,-17.4117894,-66.2804077,interseccion
INTER_617344348,617344348,Intersección 617344348,-17.4109887,-66.2796246,interseccion
INTER_617344350,617344350,Intersección 617344350,-17.4111051,-66.2781235,interseccion
INTER_617344352,617344352,Intersección 617344352,-17.4111133,-66.2780637,interseccion
INTER_617344354,617344354,Intersección 617344354,-17.4129959,-66.2757223,interseccion
INTER_617344355,617344355,Intersección 617344355,-17.4127538,-66.2777428,interseccion
INTER_617344357,617344357,Intersección 617344357,-17.4128316,-66.2771395,interseccion
INTER_617344358,617344358,Intersección 617344358,-17.4129096,-66.2765035,interseccion
INTER_617344360,617344360,Intersección 617344360,-17.4123211,-66.2771126,interseccion
INTER_617344361,617344361,Intersección 617344361,-17.4123946,-66.2764771,interseccion
INTER_617344367,617344367,Intersección 617344367,-17.4107948,-66.2764697,interseccion
INTER_617344372,617344372,Intersección 617344372,-17.4112965,-66.276472,interseccion
INTER_617344374,617344374,Intersección 617344374,-17.41187,-66.2755214,interseccion
INTER_617344376,617344376,Intersección 617344376,-17.4117439,-66.2764741,interseccion
INTER_617344378,617344378,Intersección 617344378,-17.4118815,-66.2764747,interseccion
INTER_617344379,617344379,Intersección 617344379,-17.4105616,-66.2796302,interseccion
INTER_617344381,617344381,Intersección 617344381,-17.4133248,-66.2736111,interseccion
INTER_617344384,617344384,Intersección 617344384,-17.4121379,-66.2734727,interseccion
INTER_617344386,617344386,Intersección 617344386,-17.411937,-66.2750093,interseccion
INTER_617344388,617344388,Intersección 617344388,-17.4120022,-66.2745134,interseccion
INTER_617344389,617344389,Intersección 617344389,-17.4120807,-66.2739228,interseccion
INTER_617344391,617344391,Intersección 617344391,-17.4090018,-66.2745557,interseccion
INTER_617344393,617344393,Intersección 617344393,-17.4092027,-66.2740868,interseccion
INTER_617344402,617344402,Intersección 617344402,-17.3948999,-66.2775163,interseccion
INTER_617344406,617344406,Intersección 617344406,-17.3939651,-66.2773809,interseccion
INTER_617359685,617359685,Intersección 617359685,-17.4092901,-66.2998806,interseccion
INTER_617359687,617359687,Intersección 617359687,-17.4101406,-66.3006563,interseccion
INTER_617359695,617359695,Intersección 617359695,-17.4100772,-66.3006751,interseccion
INTER_617359712,617359712,Intersección 617359712,-17.4091989,-66.3010443,interseccion
INTER_617359749,617359749,Intersección 617359749,-17.4094982,-66.2989109,interseccion
INTER_617359751,617359751,Intersección 617359751,-17.4104728,-66.2991007,interseccion
INTER_617359758,617359758,Intersección 617359758,-17.4088438,-66.2977684,interseccion
INTER_617359779,617359779,Intersección 617359779,-17.4094304,-66.294398,interseccion
INTER_617359782,617359782,Intersección 617359782,-17.4099818,-66.2961704,interseccion
INTER_617359786,617359786,Intersección 617359786,-17.4082267,-66.2958102,interseccion
INTER_617359787,617359787,Intersección 617359787,-17.4082077,-66.2943764,interseccion
INTER_617359789,617359789,Intersección 617359789,-17.4080011,-66.2931472,interseccion
INTER_617359790,617359790,Intersección 617359790,-17.4080593,-66.2931498,interseccion
INTER_617359791,617359791,Intersección 617359791,-17.4079709,-66.2926372,interseccion
INTER_617359817,617359817,Intersección 617359817,-17.4074451,-66.3017072,interseccion
INTER_617359819,617359819,Intersección 617359819,-17.4068172,-66.3020072,interseccion
INTER_617359829,617359829,Intersección 617359829,-17.4062041,-66.2941782,interseccion
INTER_617359832,617359832,Intersección 617359832,-17.4069239,-66.2950781,interseccion
INTER_617359876,617359876,Intersección 617359876,-17.4182214,-66.2863873,interseccion
INTER_617359879,617359879,Intersección 617359879,-17.4140031,-66.2862137,interseccion
INTER_617359884,617359884,Intersección 617359884,-17.4141766,-66.2840518,interseccion
INTER_617359899,617359899,Intersección 617359899,-17.4129468,-66.2840066,interseccion
INTER_617359902,617359902,Intersección 617359902,-17.4089826,-66.2807551,interseccion
INTER_617359905,617359905,Intersección 617359905,-17.4081172,-66.2806832,interseccion
INTER_617359907,617359907,Intersección 617359907,-17.4091334,-66.2837706,interseccion
INTER_617359910,617359910,Intersección 617359910,-17.4091878,-66.2822478,interseccion
